facility_id,report_month,rule_id,description,observed
BEN010,2024-02-29,R6,"HTS positively yield must be between 0.1%, and 15%",103.09%
NAS001,2023-03-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS005,2024-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS015,2023-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS006,2023-08-31,R6,"HTS positively yield must be between 0.1%, and 15%",112.84%
RIV001,2023-02-28,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
FCT005,2022-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",105.93%
NAS001,2022-06-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS002,2022-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS001,2022-07-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2022-03-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
FCT005,2023-05-01,R6,"HTS positively yield must be between 0.1%, and 15%",110.53%
FCT010,2023-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",108.46%
XXX999,2022-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2023-09-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2024-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS007,2024-11-30,R6,"HTS positively yield must be between 0.1%, and 15%",101.04%
CRS010,2024-08-01,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS999,2024-03-31,R6,"HTS positively yield must be between 0.1%, and 15%",106.99%
BEN007,2023-07-31,R6,"HTS positively yield must be between 0.1%, and 15%",107.72%
AKS009,2023-08-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2024-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS010,2023-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
FCT015,2022-02-28,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS015,2023-06-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS008,2023-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS010,2023-03-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS007,2022-07-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS001,2022-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2023-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS002,2022-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS007,2024-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
KAD014,2024-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",105.06%
CRS014,2022-07-31,R6,"HTS positively yield must be between 0.1%, and 15%",111.44%
AKS008,2023-08-01,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS009,2023-11-30,R6,"HTS positively yield must be between 0.1%, and 15%",132.26%
FCT008,2022-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",105.24%
AKS005,2024-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS001,2022-04-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS015,2023-02-28,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
NAS008,2023-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS005,2023-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
BEN007,2022-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
TMP001,2024-08-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS015,2024-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS013,2023-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
FCT013,2023-09-30,R6,"HTS positively yield must be between 0.1%, and 15%",108.43%
NAS002,2023-02-28,R6,"HTS positively yield must be between 0.1%, and 15%",102.56%
LAG008,2022-12-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS015,2024-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS010,2022-04-01,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
KAD015,2022-09-30,R6,"HTS positively yield must be between 0.1%, and 15%",106.83%
AKS001,2022-11-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
LAG006,2022-07-31,R6,"HTS positively yield must be between 0.1%, and 15%",101.87%
NAS001,2023-11-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
AKS004,2024-07-31,R6,"HTS positively yield must be between 0.1%, and 15%",101.02%
LAG009,2023-02-01,R6,"HTS positively yield must be between 0.1%, and 15%",111.08%
RIV004,2022-06-30,R6,"HTS positively yield must be between 0.1%, and 15%",113.83%
NAS001,2024-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
LAG004,2024-08-31,R6,"HTS positively yield must be between 0.1%, and 15%",104.89%
NAS008,2023-11-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
BEN007,2023-02-28,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
BEN012,2023-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.07%
CRS010,2024-06-30,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS010,2023-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV001,2022-02-28,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
RIV007,2022-08-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS015,2022-12-01,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS007,2024-01-01,R6,"HTS positively yield must be between 0.1%, and 15%",154.0%
RIV005,2022-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
LAG014,2023-10-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
BEN002,2024-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",100.84%
AKS008,2023-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
KAD004,2022-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",100.38%
KAD006,2023-09-30,R6,"HTS positively yield must be between 0.1%, and 15%",101.78%
CRS015,2023-01-31,R6,"HTS positively yield must be between 0.1%, and 15%",0.0%
CRS009,2024-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",109.59%
AKS014,2024-05-31,R6,"HTS positively yield must be between 0.1%, and 15%",120.73%
